H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
0.40,0.000,0.000,0.0040,1.840,20.000,0.610,0.000,0.002,0.000,0.000,0.000,0,15.00
0.42,0.000,0.000,0.0041,1.860,21.000,0.595,0.000,0.002,0.000,0.000,0.000,0,15.00
0.44,0.000,0.000,0.0042,1.930,20.000,0.581,0.000,0.002,0.000,0.000,0.000,0,15.00
0.46,0.000,0.000,0.0047,1.930,20.000,0.519,0.000,0.002,0.000,0.000,0.000,0,15.00
0.48,0.000,0.000,0.0045,1.940,20.000,0.542,0.000,0.002,0.000,0.000,0.000,0,15.00
0.50,0.000,0.000,0.0046,1.970,21.000,0.530,0.000,0.002,0.000,0.000,0.000,0,15.00
0.52,0.000,0.000,0.0047,1.910,21.000,0.519,0.000,0.002,0.000,0.000,0.000,0,15.00
0.54,0.000,0.000,0.0053,1.850,20.000,0.460,0.000,0.002,0.000,0.000,0.000,0,15.00
0.56,0.000,0.000,0.0050,1.910,21.000,0.488,0.000,0.002,0.000,0.000,0.000,0,15.00
0.58,0.000,0.000,0.0055,1.940,20.000,0.443,0.000,0.002,0.000,0.000,0.000,0,15.00
0.60,0.000,0.000,0.0058,1.890,21.000,0.421,0.000,0.002,0.000,0.000,0.000,0,15.00
0.62,0.000,0.000,0.0059,1.910,19.000,0.413,0.000,0.002,0.000,0.000,0.000,0,15.00
0.64,0.000,0.000,0.0057,1.720,19.000,0.428,0.000,0.002,0.000,0.000,0.000,0,15.00
0.66,0.000,0.000,0.0062,1.790,18.000,0.393,0.000,0.003,0.000,0.000,0.000,0,15.00
0.68,0.004,0.000,0.0062,1.720,20.000,0.153,0.000,0.007,0.000,0.000,0.000,0,15.00
0.70,0.015,0.000,0.0060,1.710,18.000,0.057,0.000,0.017,0.000,0.000,0.000,0,15.00
0.72,0.015,0.000,0.0056,1.690,18.000,0.058,0.000,0.017,0.000,0.000,0.000,0,15.00
0.74,0.013,0.000,0.0049,1.710,19.000,0.067,0.000,0.015,0.000,0.000,0.000,0,15.00
0.76,0.022,0.000,0.0051,1.840,18.000,0.042,0.000,0.024,0.000,0.000,0.000,0,15.00
0.78,0.060,0.000,0.0051,1.890,18.000,0.016,0.000,0.062,0.000,0.000,0.000,0,15.00
0.80,0.075,0.000,0.0046,1.910,18.000,0.013,0.000,0.077,0.000,0.000,0.000,0,15.00
0.82,0.062,0.001,0.0046,1.960,18.000,1.493,0.000,0.064,0.001,1.613,1.204,0,15.00
0.84,0.086,0.001,0.0048,1.930,17.000,1.082,0.000,0.088,0.001,1.163,1.006,0,15.00
0.86,0.121,0.001,0.0046,1.940,16.000,0.776,0.000,0.123,0.001,0.826,0.853,0,15.00
0.88,0.136,0.001,0.0050,2.000,16.000,0.688,0.000,0.138,0.001,0.735,0.735,0,15.00
0.90,0.158,0.001,0.0048,2.040,16.000,0.595,0.000,0.160,0.001,0.633,0.651,0,15.00
0.92,0.166,0.001,0.0040,2.080,16.000,0.573,0.000,0.168,0.001,0.602,0.589,0,15.00
0.94,0.194,0.002,0.0039,2.070,16.000,1.003,0.000,0.196,0.002,1.031,1.070,0,15.00
0.96,0.210,0.003,0.0039,2.040,15.000,1.399,0.000,0.212,0.003,1.429,1.481,0,15.00
0.98,0.229,0.004,0.0039,2.050,14.000,1.718,0.000,0.231,0.004,1.747,1.843,0,15.00
