H [m],qc [MPa],fs [MPa],u2 [MPa],TA [degrees],v [cm/s],Rf [%],Uo [MPa],qt [MPa],ft [MPa],Rf(qc) [%],Rfd [%],soil [],UW [kN/m3]
2.82,0.057,0.000,0.0013,3.050,19.000,0.017,0.000,0.057,0.000,0.000,0.000,0,17.50
2.84,0.054,0.000,0.0014,3.040,20.000,0.018,0.000,0.055,0.000,0.000,0.000,0,17.50
2.86,0.057,0.000,0.0014,3.090,20.000,0.017,0.000,0.057,0.000,0.000,0.000,0,17.50
2.88,0.058,0.000,0.0015,3.050,21.000,0.017,0.000,0.058,0.000,0.000,0.000,0,17.50
2.90,0.059,0.000,0.0014,3.090,21.000,0.017,0.000,0.059,0.000,0.000,0.000,0,17.50
2.92,0.060,0.000,0.0015,3.170,21.000,0.017,0.000,0.060,0.000,0.000,0.000,0,17.50
2.94,0.061,0.000,0.0015,3.090,21.000,0.016,0.000,0.062,0.000,0.000,0.000,0,17.50
2.96,0.061,0.000,0.0014,3.070,21.000,0.016,0.000,0.062,0.000,0.000,0.000,0,17.50
2.98,0.062,0.000,0.0015,3.030,23.000,0.016,0.000,0.063,0.000,0.000,0.000,0,17.50
3.00,0.061,0.000,0.0015,3.190,24.000,0.016,0.000,0.062,0.000,0.000,0.000,0,17.50
3.02,0.063,0.000,0.0015,3.170,23.000,0.016,0.000,0.064,0.000,0.000,0.000,0,17.50
3.04,0.062,0.000,0.0011,3.140,21.000,0.016,0.000,0.063,0.000,0.000,0.000,0,17.50
3.06,0.066,0.000,0.0016,3.160,23.000,0.015,0.000,0.067,0.000,0.000,0.000,0,17.50
3.08,0.066,0.000,0.0016,3.180,23.000,0.015,0.000,0.067,0.000,0.000,0.000,0,17.50
3.10,0.056,0.000,0.0016,3.240,24.000,0.018,0.000,0.057,0.000,0.000,0.000,0,17.50
3.12,0.054,0.000,0.0016,3.180,22.000,0.018,0.000,0.055,0.000,0.000,0.000,0,17.50
3.14,0.067,0.000,0.0016,3.220,22.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.16,0.068,0.000,0.0017,3.240,23.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.18,0.069,0.000,0.0017,3.270,44.000,0.014,0.000,0.069,0.000,0.000,0.000,0,17.50
3.20,0.064,0.000,0.0017,3.300,19.000,0.015,0.000,0.065,0.000,0.000,0.000,0,17.50
3.22,0.052,0.000,0.0035,3.720,0.000,0.019,0.000,0.053,0.000,0.000,0.000,0,17.50
3.24,0.076,0.000,0.0035,3.660,28.000,0.013,0.000,0.077,0.000,0.000,0.000,0,17.50
3.26,0.072,0.000,0.0036,3.670,26.000,0.014,0.000,0.074,0.000,0.000,0.000,0,17.50
3.28,0.073,0.000,0.0035,3.690,25.000,0.013,0.000,0.075,0.000,0.000,0.000,0,17.50
3.30,0.071,0.000,0.0036,3.670,23.000,0.014,0.000,0.073,0.000,0.000,0.000,0,17.50
3.32,0.069,0.000,0.0037,3.690,31.000,0.014,0.000,0.070,0.000,0.000,0.000,0,17.50
3.34,0.068,0.000,0.0037,3.660,32.000,0.014,0.000,0.069,0.000,0.000,0.000,0,17.50
3.36,0.067,0.000,0.0037,3.730,23.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.38,0.065,0.000,0.0037,3.650,14.000,0.015,0.000,0.067,0.000,0.000,0.000,0,17.50
3.40,0.066,0.000,0.0037,3.680,16.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.42,0.066,0.000,0.0037,3.700,21.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.44,0.067,0.000,0.0037,3.720,25.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.46,0.066,0.000,0.0038,3.730,31.000,0.015,0.000,0.068,0.000,0.000,0.000,0,17.50
3.48,0.084,0.000,0.0037,3.830,29.000,0.012,0.000,0.086,0.000,0.000,0.000,0,17.50
3.50,0.086,0.000,0.0037,3.610,15.000,0.011,0.000,0.087,0.000,0.000,0.000,0,17.50
3.52,0.089,0.000,0.0038,3.650,14.000,0.288,0.000,0.091,0.000,0.336,0.242,0,17.50
3.54,0.107,0.000,0.0038,3.760,16.000,0.057,0.000,0.108,0.000,0.094,0.072,0,17.50
3.56,0.157,0.001,0.0039,3.720,17.000,0.668,0.000,0.159,0.001,0.700,0.695,0,17.50
3.58,0.190,0.002,0.0041,3.750,20.000,0.867,0.000,0.191,0.002,0.896,0.950,0,17.50
3.60,0.213,0.003,0.0040,3.770,19.000,1.471,0.000,0.215,0.003,1.501,1.552,0,17.50
3.62,0.237,0.003,0.0041,3.800,20.000,1.367,0.000,0.238,0.003,1.394,1.457,0,17.50
3.64,0.239,0.004,0.0039,3.720,21.000,1.851,0.000,0.241,0.004,1.880,1.817,0,17.50
3.66,0.272,0.006,0.0035,3.800,22.000,2.182,0.000,0.273,0.006,2.207,2.231,0,17.50
3.68,0.294,0.011,0.0049,3.790,20.000,3.761,0.000,0.297,0.011,3.803,3.894,0,17.50
3.70,0.383,0.013,0.0047,3.810,20.000,3.260,0.000,0.385,0.013,3.289,4.124,0,17.50
3.72,0.309,0.015,0.0061,3.820,21.000,4.828,0.000,0.312,0.015,4.887,4.639,0,17.50
3.74,0.323,0.015,0.0058,3.770,22.000,4.587,0.000,0.326,0.015,4.638,4.349,0,17.50
3.76,0.341,0.015,0.0060,3.830,23.000,4.355,0.000,0.343,0.015,4.404,4.175,0,17.50
3.78,0.362,0.015,0.0064,3.820,24.000,4.230,0.000,0.365,0.015,4.278,4.175,0,17.50
3.80,0.387,0.016,0.0066,3.800,23.000,4.066,0.000,0.389,0.016,4.112,4.157,0,17.50
3.82,0.433,0.016,0.0067,3.790,23.000,3.636,0.000,0.435,0.016,3.675,4.107,0,17.50
3.84,0.451,0.016,0.0067,3.810,23.000,3.425,0.000,0.454,0.016,3.461,3.920,0,17.50
3.86,0.398,0.016,0.0068,3.800,24.000,3.980,0.000,0.400,0.016,4.025,3.916,0,17.50
3.88,0.403,0.016,0.0070,3.820,25.000,3.926,0.000,0.406,0.016,3.971,3.818,0,17.50
3.90,0.418,0.016,0.0071,3.800,27.000,3.805,0.000,0.421,0.016,3.849,3.741,0,17.50
3.92,0.435,0.017,0.0072,3.820,27.000,3.777,0.000,0.438,0.017,3.820,3.758,0,17.50
3.94,0.427,0.016,0.0074,3.820,28.000,3.817,0.000,0.430,0.016,3.861,3.672,0,17.50
3.96,0.441,0.017,0.0077,3.810,30.000,3.834,0.000,0.444,0.017,3.878,3.757,0,17.50
3.98,0.455,0.017,0.0080,3.800,29.000,3.711,0.000,0.459,0.017,3.756,3.808,0,17.50
4.00,0.487,0.017,0.0082,3.770,30.000,3.470,0.000,0.490,0.017,3.511,3.764,0,17.50
4.02,0.512,0.017,0.0082,3.800,29.000,3.301,0.000,0.516,0.017,3.339,3.756,0,17.50
4.04,0.516,0.018,0.0084,3.790,29.000,3.450,0.000,0.519,0.018,3.489,4.112,0,17.50
4.06,0.514,0.018,0.0088,3.770,27.000,3.402,0.000,0.518,0.018,3.443,4.216,0,17.50
4.08,0.332,0.023,0.0087,3.810,28.000,6.747,0.000,0.335,0.023,6.846,5.454,0,12.50
4.10,0.461,0.020,0.0087,3.760,28.000,4.245,0.000,0.464,0.020,4.297,4.813,0,17.50
4.12,0.428,0.017,0.0091,3.770,22.000,3.938,0.000,0.432,0.017,3.993,4.234,0,17.50
4.14,0.242,0.003,0.0161,3.790,0.000,1.302,0.000,0.249,0.003,1.404,0.865,0,17.50
4.16,0.230,0.004,0.0161,3.790,27.000,1.451,0.000,0.237,0.003,1.563,0.943,0,17.50
4.18,0.401,0.021,0.0172,3.770,30.000,5.078,0.000,0.408,0.021,5.211,5.627,0,17.50
4.20,0.402,0.021,0.0172,3.790,29.000,5.067,0.000,0.409,0.021,5.199,5.538,0,17.50
4.22,0.404,0.017,0.0175,3.800,30.000,4.191,0.000,0.411,0.017,4.309,4.682,0,17.50
4.24,0.393,0.016,0.0175,3.800,27.000,3.955,0.000,0.400,0.016,4.071,4.338,0,17.50
4.26,0.392,0.015,0.0177,3.820,28.000,3.612,0.000,0.399,0.014,3.724,3.799,0,17.50
4.28,0.400,0.014,0.0179,3.830,28.000,3.391,0.000,0.408,0.014,3.498,3.502,0,17.50
4.30,0.398,0.013,0.0181,3.820,28.000,3.215,0.000,0.405,0.013,3.321,3.300,0,17.50
4.32,0.398,0.013,0.0182,3.820,28.000,3.091,0.000,0.405,0.013,3.195,3.159,0,17.50
4.34,0.398,0.013,0.0183,3.820,27.000,3.115,0.000,0.405,0.013,3.220,3.150,0,17.50
4.36,0.412,0.013,0.0183,3.870,27.000,3.151,0.000,0.420,0.013,3.252,3.246,0,17.50
4.38,0.401,0.014,0.0181,3.890,29.000,3.260,0.000,0.409,0.013,3.366,3.164,0,17.50
4.40,0.403,0.014,0.0185,3.890,27.000,3.244,0.000,0.410,0.013,3.351,3.043,0,17.50
4.42,0.425,0.014,0.0186,3.890,25.000,3.242,0.000,0.432,0.014,3.344,3.003,0,17.50
4.44,0.452,0.015,0.0189,3.890,26.000,3.180,0.000,0.459,0.015,3.277,2.725,0,17.50
4.46,0.464,0.011,0.0185,3.890,28.000,2.355,0.000,0.472,0.011,2.433,1.548,0,17.50
4.48,0.544,0.017,0.0197,3.880,2.000,3.026,0.000,0.552,0.017,3.107,1.630,0,17.50
4.50,0.587,0.018,0.0200,3.880,21.000,2.922,0.000,0.595,0.017,2.997,1.286,0,17.50
4.52,0.719,0.020,0.0212,3.870,25.000,2.746,0.000,0.728,0.020,2.809,1.185,0,18.00
4.54,1.169,0.022,0.0222,3.850,27.000,1.815,0.000,1.178,0.021,1.848,1.053,0,18.00
4.56,2.454,0.024,0.0226,3.810,26.000,0.965,0.000,2.463,0.024,0.978,0.995,0,18.50
4.58,3.784,0.030,0.0221,3.840,26.000,0.777,0.000,3.794,0.029,0.785,1.082,0,18.50
4.60,4.053,0.030,0.0208,3.830,27.000,0.743,0.000,4.061,0.030,0.750,1.015,0,18.50
4.62,4.101,0.030,0.0205,3.850,26.000,0.730,0.000,4.109,0.030,0.736,0.954,0,18.50
4.64,4.247,0.031,0.0204,3.870,20.000,0.721,0.000,4.255,0.031,0.728,0.942,0,18.50
4.66,4.407,0.032,0.0204,3.890,19.000,0.727,0.000,4.415,0.032,0.733,0.984,0,18.50
4.68,4.135,0.034,0.0201,3.900,18.000,0.818,0.000,4.143,0.034,0.825,1.084,0,18.50
4.70,3.286,0.032,0.0177,3.900,13.000,0.963,0.000,3.293,0.032,0.971,1.112,0,18.50
4.72,2.455,0.028,0.0166,3.910,14.000,1.139,0.000,2.462,0.028,1.148,1.102,0,18.00
4.74,1.999,0.029,0.0162,3.920,15.000,1.453,0.000,2.006,0.029,1.466,1.308,0,18.00
4.76,1.172,0.031,0.0159,3.900,18.000,2.617,0.000,1.178,0.031,2.646,1.632,0,18.00
4.78,0.961,0.038,0.0157,3.920,18.000,3.921,0.000,0.968,0.038,3.963,2.475,0,17.50
4.80,0.746,0.041,0.0160,3.910,17.000,5.492,0.000,0.753,0.041,5.562,3.450,0,17.50
4.82,0.642,0.043,0.0156,3.920,14.000,6.558,0.000,0.649,0.043,6.648,4.521,0,17.50
4.84,0.592,0.040,0.0155,3.940,15.000,6.578,0.000,0.598,0.039,6.675,5.195,0,17.50
4.86,0.494,0.036,0.0156,3.940,15.000,7.160,0.000,0.501,0.036,7.285,5.835,0,17.50
4.88,0.451,0.031,0.0156,3.940,14.000,6.746,0.000,0.457,0.031,6.877,5.653,0,17.50
4.90,0.435,0.026,0.0157,3.950,14.000,5.792,0.000,0.441,0.026,5.913,5.152,0,17.50
4.92,0.442,0.021,0.0159,3.970,14.000,4.626,0.000,0.448,0.021,4.731,4.439,0,17.50
4.94,0.429,0.016,0.0163,4.000,15.000,3.611,0.000,0.436,0.016,3.705,3.484,0,17.50
4.96,0.423,0.015,0.0164,4.050,18.000,3.431,0.000,0.430,0.015,3.524,3.356,0,17.50
4.98,0.417,0.014,0.0166,4.060,18.000,3.285,0.000,0.424,0.014,3.378,3.198,0,17.50
5.00,0.417,0.016,0.0169,4.080,7.000,3.668,0.000,0.423,0.016,3.770,3.622,0,17.50
5.02,0.437,0.017,0.0172,4.100,9.000,3.787,0.000,0.444,0.017,3.887,4.079,0,17.50
5.04,0.484,0.019,0.0175,4.110,9.000,3.912,0.000,0.491,0.019,4.007,4.854,0,17.50
5.06,0.454,0.021,0.0176,4.100,10.000,4.489,0.000,0.462,0.021,4.599,5.155,0,17.50
5.08,0.462,0.020,0.0182,4.110,1.000,4.245,0.000,0.469,0.020,4.353,4.906,0,17.50
5.10,0.368,0.016,0.0179,4.100,5.000,4.325,0.000,0.375,0.016,4.460,3.960,0,17.50
5.12,0.251,0.007,0.0237,4.100,16.000,2.554,0.000,0.261,0.007,2.747,1.642,0,17.50
5.14,0.254,0.018,0.0238,4.110,26.000,6.851,0.000,0.264,0.018,7.208,4.299,0,12.50
5.16,0.492,0.026,0.0254,4.110,13.000,5.081,0.000,0.503,0.026,5.240,6.082,0,17.50
5.18,0.470,0.022,0.0255,4.080,19.000,4.465,0.000,0.480,0.021,4.619,5.126,0,17.50
5.20,0.466,0.022,0.0256,4.090,19.000,4.540,0.000,0.477,0.022,4.698,5.205,0,17.50
5.22,0.484,0.023,0.0260,4.090,20.000,4.555,0.000,0.495,0.023,4.709,5.338,0,17.50
5.24,0.497,0.023,0.0260,4.090,18.000,4.500,0.000,0.508,0.023,4.649,5.185,0,17.50
5.26,0.468,0.024,0.0261,4.170,20.000,4.875,0.000,0.479,0.023,5.043,5.083,0,17.50
5.28,0.444,0.020,0.0261,4.150,21.000,4.292,0.000,0.455,0.020,4.454,4.301,0,17.50
5.30,0.434,0.018,0.0263,4.160,21.000,3.969,0.000,0.444,0.018,4.128,3.903,0,17.50
5.32,0.437,0.018,0.0263,4.150,20.000,3.847,0.000,0.448,0.017,4.002,3.830,0,17.50
5.34,0.454,0.017,0.0265,4.150,21.000,3.690,0.000,0.464,0.017,3.837,3.841,0,17.50
5.36,0.461,0.018,0.0265,4.150,21.000,3.760,0.000,0.472,0.018,3.906,4.027,0,17.50
5.38,0.449,0.018,0.0268,4.140,23.000,3.920,0.000,0.460,0.018,4.076,4.118,0,17.50
5.40,0.451,0.019,0.0268,4.130,20.000,4.078,0.000,0.462,0.019,4.237,4.297,0,17.50
